Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка
Специалист по управлению уязвимостями,MERLION,"Знания современных угроз и уязвимостей, связанных с нарушением информационной безопасности, технологий, методов и средств защиты информации","Анализировать угрозы информационной безопасности для корпоративной инфраструктуры Компании, выбирать оптимальные решения для нейтрализации угроз",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116026023
DevOps Engineer (GigaCode),SberTech,Бакалавр или Магистр в технических областях знаний,Обеспечить развертывание и инфраструктурную поддержку On-prem решения в контуре у клиентов,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117373371
Главный эксперт Аттестационного центра,РНТ,"Высшее техническое по направлению «Информационная безопасность» (курсы повышения квалификации, переподготовка по направлению ""Информационная безопасность"")",Разработка организационно-распорядительных документов на объекты информатизации. Участие в проведении аттестационных испытаний объектов информатизации по требованиям безопасности информации. ,100000 - 130000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117682497
Инженер по сопровождению и развитию средств безопасности,Управляющая компания Первая,"Знание профильных технических решений в области защиты информации. Владение английским на уровне, достаточном для чтения документации и статей. ","Внедрение новых систем безопасности таких как 2FA, DAG, NAC, MDM, их развитие и поддержка",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118443139
DevOps инженер,HR Prime,"Опыт с Kubernetes. Linux от 3-х лет. Опыт работы с облачными хранилищами (AWS, Yandex Cloud...).","Поддерживать работоспособность и отказоустойчивость сервисов и компонентов инфраструктурного проекта. Автоматизировать подготовку окружений и тестовых сред, сборку и развёртывание приложений. ",270000 - 420000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117777463
Главный инженер,РСХБ-Интех,"Опыт разработки функциональных требований, технических заданий, проектной документации. Опыт работы с платформами виртуализации vSphere. Опыт администрирования Linux",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117778792
DevSecOps,ПСБ (ПАО «Промсвязьбанк»),Понимание сетевой модели OSI (стек TCP/IP) и работы протокола http. Опыт работы в Linux системах. Опыт работы с Docker. ,"Участие в построении процессов DevSecOps во внедряемых системах. Участие в процессе построения безопасной среды исполнения кода на базе Docker, kubernetes. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/107129235
Системный инженер/разработчик,ФИНТЕХ,"Базовые знания С++. Навыки работы с GIT, творческий подход к готовому коду",Разработка модулей на С++. Настройка серверного оборудования.,100000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117160116
DevOps-инженер (Трайб CVM),АО «ОТП Банк» (JSC «OTP Bank»),"Опыт администрирования Linux (желательно RHEL), понимание принципов работы Docker",Обеспечивать работоспособность и доступность бизнес-систем. Улучшать стабильность и отказоустойчивость сервисов,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118072613
Специалист по информационной безопасности,Правительство Москвы,От 5 лет работы на аналогичной должности. Опыт разработки организационно-распорядительной документации в сфере информационной безопасности и защиты персональных данных. ,Подготовка и актуализация организационно-распорядительной документации в сфере информационной безопасности (ИБ) и защиты персональных данных,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118081025
Lead SRE / DevOps (SaaS),Sipuni.com,"ОС: Linux, Debian. Контейнеризация: Docker, Kubernetes. CI/CD: GitLab CI/CD, Git. Скриптинг: Bash.","Оптимизировать процесс устранения инцидентов. Сейчас команда чинит проблемы разными способами, иногда с костылями",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117110799
AppSec специалист,Spice IT,"Чтение кода и понимание наиболее популярных фреймворков. Опыт работы с SAST, DAST. Применение различных AppSec-подходов.","Ручной и автоматизированный поиск недостатков разрабатываемого ПО, участие в их разборе совместно с командами разработки, разработка PoC-эксплоитов. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117349945
Главный специалист по информационной безопасности (сертификация средств защиты информации),Центр Атомзащитаинформ,"Высшее образование в области информационной безопасности, информационных технологий. Готовность оформить необходимую форму допуска к гос.тайне",,210000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117700623
Ведущий специалист по защите информации,Филиал Центр аэронавигационной информации ФГУП Госкорпорации по ОрВД,"Образование высшее специальное по информационной безопасности. Опыт работы. Применять национальные, межгосударственные и международные стандарты в области защиты информации.",Проведение контрольных проверок работоспособности и эффективности применяемых программно-аппаратных средств защиты информации,133631 - 133631 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118347048
Специалист по информационной безопасности (Офицер ИБ),Ростелеком - Центры обработки данных,Разбираетесь в функционировании компьютерных сетей. Понимаете базовые принципы функционирования СЗИ,Организация противодействия компьютерным атакам и ликвидации каналов утечки информации,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117620016
Специалист органа криптографической защиты,Ростелеком - Центры обработки данных,Методы и способы криптографической защиты информации. Принципы функционирования инфраструктуры открытых ключей. Основы работы с сертифицированными средствами криптографической защиты информации.,Разработка внутренних нормативных документов и методических рекомендаций по вопросам деятельности органа криптографической защиты,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117732207
Специалист по ГО ЧС и пожарной безопасности,ОЦ Московский Дом книги,"высшее техническое образование. - специальная подготовка в учебных центрах по пожарной безопасности, ГО и ЧС",Функционал в сфере пожарной безопасности: -обеспечение противопожарной безопасности на всех объектах организации. -организация и проведение противопожарных мероприятий,150000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/116630700
Инженер связи / Инженер мониторинга,ПИК-специализированный застройщик,"Понимание и знание как развернуть систему мониторинга с нуля, можете быстро разобраться в уже готовой системе","Настройка, обновление, разработка шаблонов Zabbix. Разработка новых скриптов для автоматизации процессов. Создание дашбордов для централизации сбора информации в Grafana. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117478068
Middle+ / Senior SRE Engineer / DevOps,Пойзон Дроп,"Многозадачность, умение вести несколько проектов параллельно, проактивность. Личная ответственность за результат, системность в процессах",Поддержать заезд продуктовой части проекта в облако (k8s с автоскейлингом). Поддержать при этом текущий gitops way ansible/terraform. ,300000 - 320000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118197783
Ведущий специалист по защите информации,Системы управления,,"Выявление внешних и внутренних угроз и уязвимостей информационной безопасности, возможных каналов утечки информации. Анализ состояния защищённости объектов информационной инфраструктуры Общества. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116604353
Выездной специалист дежурной линии ИТ поддержки,ИК СИБИНТЕК,Умение работать с антивирусным ПО. Навыки развертывания и администрирования приложений. Знание принципов работы сетевого оборудования и внутреннего устройства компьютерной сети. ,"Выездная диагностика проблем, возникающих в работе автоматизированной системы управления сети АЗК. Выполнение работ по поддержке ПК, персонального и сетевого принтера. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/115910408
Ведущий специалист по экологической безопасности,СберСити,"Высшее образование в области охраны труда - техносферная безопасность, инженерная защита окружающей среды","Подготовка отчетности и своевременная сдача документов в Росприроднадзор. Оптимизация экологических затрат компании. Нормирование, учет и организация работы с отходами производства. ",Не указана,Более 6 лет,https://hh.ru/vacancy/117942408
DevOps-инженер (AIC),Группа компаний Астра,"Опыт администрирования Linux систем (Debian, Ubuntu, Astra Linux). Понимание принципов Infrastructure-as-Code (Ansible, Terraform)",Написание и поддержка пайплайнов CI/CD по сборке сервисов и развертыванию стендов. Настройка и поддержка системы управления API. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118011739
Архитектор по решениям информационной безопасности,ЛАНИТ,"Опыт работы в командах разработки и эксплуатации, практикующих DevOps, использующих DevOps-инструменты, в частности, kubernetes",Проектирование и пилотирование решений информационной безопасности. Разработка архитектуры решений и методов их реализации. Участие в разработке рекомендательной системы. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118430652
Инженер по ККТ/ККМ,Форум-Авто,Знание ФЗ-54 о применении контрольно-кассовой техники. Опыт работы по блочному ремонту и обслуживанию фискальных регистраторов,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116094352
Архитектор по информационной безопасности (ГИП),Юстас,Опыт выполнения работ по проектированию / модернизации ИТ-инфраструктуры. Опыт работы с СХД. Опыт выполнения работ по проектированию / модернизации сетевой инфраструктуры.,Технический пресейл,250000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117440734
Специалист по информационной безопасности,Маркетинг Солюшнз,"Высшее/незаконченное высшее техническое (профильное, в области информационной безопасности). Знание основ информационной безопасности. Желание учиться и развиваться в сфере ИБ.",Участие в формирование стратегии развития информационной безопасности,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117783259
"Сервисный ИТ-инженер, г.Москва","Принтград, ГК",Уверенный пользователь ПК. Коммуникабельность. Обучаемость.,"Подготовка ККТ (контрольно-кассовая техника) к работе, настройка обновлений. Регистрация ККТ на территории торгового объекта. Подключение доп",80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/114485519
Pentester (Middle / Senior),DatsTeam,"Опыт работы в области Offensive Security от 3 лет, в профильных организациях (где много пентестят и мало говорят). ",Реализация анализа защищённости мобильных и веб-приложений. Подготовка рекомендации по устранению найденных проблем безопасности,Не указана,Более 6 лет,https://hh.ru/vacancy/111595579
Руководитель направления защиты данных,VK,Умеете проводить аудит ИБ.,"Анализировать работу продуктов и сервисов компании, формировать требования информационной безопасности, определять их реализацию с командами. Развивать направление Data Protection. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/112502763
Сетевой специалист по информационной безопасности,ЛАНИТ,Уверенное ориентирование в модели OSI,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117643964
Специалист по информационной безопасности,Ренессанс Банк,"Опыт выпуска сертификатов в коммерческих УЦ: УЦ Крипто Про, УЦ ЦБ","Создание запросов, подготовка документов на выпуск сертификатов Электронной Подписи. Ведение учета СКЗИ, эксплуатационной и технической документации к ним. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117960116
Пресейл-инженер,Платформикс,Образование высшее техническое / незаконченное высшее,Участие в пресейловых активностях и поддержке продаж в качестве технического эксперта,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/109434037
DevOps инженер,Selecty,Опыт работы на аналогичной позиции DevOps инженера от 3-х лет. Уверенные знания и опыт работы с k8s. ,Обеспечение бесперебойной работы сервисов систем. Обеспечение разворачивания сервисов. Внедрение и совершенствование процессов CI/CD. Оптимизация производительности инфраструктуры и приложений.,390000 RUR,Более 6 лет,https://hh.ru/vacancy/111481526
Инженер по пожарной безопасности,Мясокомбинат ЭКО,"Высшее профильное образование. Опыт работы по специальности не менее 3 лет, на производственном предприятии как плюс",Обеспечение противопожарной безопасности на предприятии. Разработка и ведение документации по пожарной безопасности,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/115684002
SRE-инженер,BI.ZONE,"Опыт установки, настройки и администрирования ПО в Linux. Навыки разработки и автоматизации на Bash, Python или Go","Развёртывание и поддержка работоспособности инфраструктуры. Развёртывание и поддержка сред разработки для внутренних команд. Мониторинг инфраструктуры, реагирование на возникающие инциденты работоспособности. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118035915
DevOps/SRE в команду Stability&Server Core,Pyrus,Kubernetes. Prom/Grafana. Terraform. Bash. Знание Python/Go будет плюсом.,Разработка отказоустойчивой системы на базе Kubernetes поверх bare metal. Разработка системы мониторинга и alerting. Расследование инцидентов в бою. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118251593
DevOps-инженер,Центр Информационных технологий Роскадастр-Инфотех Филиал Роскадастр,Опыт работы DevOps-инженером от 2-х лет. Образование – высшее в сфере информационных технологий,Вводить в эксплуатацию и тестировать системы и сервисы,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116908176
Специалист по информационной безопасности,Центр Новых Финансовых Сервисов,Опыт работы в области ИТ или ИБ от 3 лет. Знание стандартов и опыт применения лучших практик в области ИБ. ,"Разработка и совершенствование мероприятий по защите данных, выбор и внедрение соответствующих решений",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116911966
Инженер сетевой безопасности,Ингосстрах,Образование не ниже среднего специального в сфере ИБ или ИТ. Опыт работы в ИБ или ИТ не менее 3 лет. ,Администрирование средств защиты информации (СЗИ). Оценка состояния СЗИ и формирование предложений по их замене или модернизации,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117623795
DevOps Engineer,Americor Funding Inc,"5+ лет опыта работы с облачными веб-приложениями, в идеале в стартапах","Управление облачной инфраструктурой с помощью подхода IaC (Terraform). Контроль кластеров контейнеров (Kubernetes, ECS). Настройка инструментов мониторинга и выявление проблем производительности. ",3900 -  USD,От 3 до 6 лет,https://hh.ru/vacancy/118055732
Специалист по защите информации,ГБУЗ Центр патологии речи и нейрореабилитации,Высшее образование - бакалавриат в области информационной безопасности. Высшее образование и профессиональная переподготовка по направлению информационная безопасность не менее 512 часов. ,"Ведение полного цикла жизни ЭЦП: выпуск, перевыпуск, установка и настройка, создание и удаление копий, регистрация в специализированном ПО. ",120000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118134158
Специалист направления безопасной разработки/Security Champion,Интер РАО - Цифровые решения,Знание базовых понятий информационной безопасности и методов ее обеспечения. Знание основных мер применяемых в безопасной разработке,Разработка на программного кода на основании поставки от руководителя или от системного аналитика. Отладка программного кода,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116348171
Техник (информационные технологии),Корпорация ВНИИЭМ,"Среднее профессиональное образование (информационные технологии). Навыки администрирования ОС. Владение вспомогательными утилитами, системами мониторинга","Контроль работоспособности, диагностирование и принятие мер по устранению неисправностей программно-технических комплексов, периферийного оборудования, структурированных кабельных систем.",70000 -  RUR,Нет опыта,https://hh.ru/vacancy/117478898
Руководитель группы сетевых инженеров,РТК-Сервис,Опыт управления уделенной командой. Образование высшее техническое. Опыт работы на аналогичной должности от трех лет,"Участие в проектах по модернизации сетевой инфраструктуры Заказчика, построенной на различном оборудовании: Cisco, Juniper, Nokia, Huawei и т.д.. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116907047
Дежурный аналитик SecOps в Yandex Cloud,Яндекс,"Понимаете методы, инструменты и процессы работы с инцидентами информационной безопасности. Способны действовать самостоятельно и проактивно","Мониторить и анализировать события информационной безопасности, чтобы выявлять угрозы",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117785309
DevSecOps-инженер,ЦИБИТ,Высшее образование в сфере Информационной безопасности или Информационные технологии + программа повышения квалификации по ИБ,"Интеграция практик безопасности в процессы разработки и эксплуатации программного обеспечения, включая инструменты SAST, DAST, SCA, Container Security",400000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117958855
Senior Vault Engineer,WILDBERRIES,"Опыт работы с Hashicorp Vault, Kubernetes и PKI. Опыт работы с Ansible. Опыт написания скриптов и модулей на Python. ","Администрирование и настройка Hashicorp Vault, включая обновление конфигураций и управление ролями и доступами",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117491226
Главный специалист по ГО и ЧС,ГКУ Пожарно-спасательный центр,Обязательно наличие опыта работы в области ГО и защиты от ЧС. Высшее образование,Организация мероприятий по гражданской обороне и чрезвычайным ситуациям,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117935094
Ведущий инженер по информационной безопасности,Платформикс,Широкий кругозор в сфере технологий обеспечения информационной безопасности,Техническая предпродажная поддержка (presale) коммерческих подразделений и внутренних подразделений. Разработка схем комплексных систем защиты информации,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/101732690
Сетевой инженер,Т1,Знание сетевых/ИБ технологий на уровне не ниже CCNA Security,Администрирование оборудования межсетевого экранирования. Осуществление контроля доступа администраторов к сетевому оборудованию. Настройка политик и ограничение доступа пользователей корпоративной сети. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/111258206
DevOps инженер,ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ,"Уверенное владение в качестве пользователя ОС: Linux, Windows. Уверенная работа в интерфейсе командной строки, знание sh/bash, PowerShell. ",Организация и поддержка CI / CD процессов в Azure DevОps,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/113591693
DevOps инженер,Т1,Опыт работы DevOps инженером от 3 лет. Понимание модели Gitflow. Понимание ООП,Проектирование и реализация архитектуры CI/CD для канального приложения. Настройка и оптимизация процессов развертывания на Kubernetes и OpenShift 4. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/115172444
Младший инженер технического сопровождения продуктов обеспечения сетевой безопасности,Специальная интеграция,"Выпускник ИБ или ИТ-вуза, с минимальными навыками. Курсы по сетям или ИБ — плюс","Развертывание и настройка МЭ, маршрутизаторов и VPN на базе собственного продукта. Администрирование сетевого оборудования: маршрутизаторы, коммутаторы",Не указана,Нет опыта,https://hh.ru/vacancy/117485556
Эксперт по информационной безопасности,Х5 Group,"Высшее образование в области информационной безопасности, области информационных технологий или прохождение курсов профессиональной переподготовки",,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/111980839
Системный инженер (Инфраструктурные сервисы),Softline,"Глубокие знание по работе базовых инфраструктурных сервисов. Опыт работы с системами на базе Linux, Windows. Опыт работы с системами виртуализации. ","Планирование, внедрение, администрирование, восстановление и модернизации инфраструктурных сервисов (Служба каталогов, Почтовые и антиспам системы, Системы виртуализации и др.). ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/114816794
Application Security Engineer,Finist Lab,"3+ лет опыта в области безопасности приложений. Опыт работы с инструментами безопасности (например,SonarQube, Trivy, Burp Suite). ",Выполнить обзор безопасности кода и приложений. Подготовить план оптимизации процессов безопасной разработки. Начать внедрение подходов Appsec в повседневной практике. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117062321
Ведущий сетевой инженер,АМТЕЛ-СВЯЗЬ,"Опыт эксплуатации наземных сетей передачи данных и узлов связи. Опыт работы с оборудованием Huawei операторского класса (коммутаторы, маршрутизаторы). ",Эксплуатация действующих наземных сетей и узлов связи. Работы по настройке сетевого оборудования. Ведение сетевой документации и адресного плана. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117626630
Middle DevOps engineer (UI Console),МТС,3+ лет опыта работы на позициях DevOps и системный администратор,"Реализация и поддержка конвейера CI/CD платформы. Интеграция инструментов, обеспечивающих работу конвейера CI/CD. Развертывание, обновление и настройка системного ПО. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117978970
Руководитель проекта (управление уязвимостями),Газпромбанк,"Высшее образование (техническое, предпочтительно в области информационной безопасности). Опыт внедрения автоматизированных систем/СЗИ","Участие в пилотировании и внедрении автоматизированных систем в рамках тематики управления уязвимостей (сканеры уязвимостей, VM решение, система построения векторов атак). ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118198512
Ведущий аналитик экспертной линии (SOC),МТС Финтех,"Знание и понимание современного ландшафта угроз информационной безопасности, моделей (e.g",Управление контентом систем SOC и его развитие. Актуализация контента на основе анализа угроз информационной безопасности и данных CTI. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/114840587
Ведущий инженер по радиосвязи (земные станции спутниковой связи),БЮРО 1440,"Высшее профильное образование, опыт работы с земными станциями низкоорбитальной спутниковой системы связи (опыт оператора связи приветствуется)","Эксплуатацией земных станций низкоорбитальной спутниковой системы связи(ШС, ШРБ)",Не указана,Более 6 лет,https://hh.ru/vacancy/118084553
Инженер по безопасной разработке (DevSecOps),DENUM GROUP,Знание подхода DevSecOps и понимание процессов безопасной разработки. Понимание принципов микросервисной архитектуры приложений,Участвовать в проектах по внедрению новых инфраструктурных средств информационной безопасности,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/104639054
Начальник управления информационной безопасности,Независимая нефтегазовая компания,Высшее профессиональное образование. Не менее 5 лет опыта работы в области обеспечения безопасности корпоративных информационных систем.,Разработка и реализация стратегии ИБ. Формирование и исполнение бюджета. Создание комплексной системы обеспечения ИБ. Разработка системы нормативных документов. ,Не указана,Более 6 лет,https://hh.ru/vacancy/112394998
Сетевой инженер,Zelax,"Высшее техническое образование или опыт работы в профильной области от года. Хорошее знание русского языка, грамотность",Непосредственная работа в отделе технической поддержки. Консультации по настройке и обслуживанию оборудования,160000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118115274
Системный инженер,ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,Опыт построения платформ виртуализации корпоративного класса с нуля и их сопровождения,"Обеспечение работы более 800 виртуальных серверных систем на базе последних версий Windows Server, Linux в крупных компаниях от 1000 пользователей. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/114082332
Специалист отдела аттестации объектов информатизации,ФГУП НТЦ Заря,Высшее профессиональное образование по направлению подготовки (специальности) «Информационная безопасность» в соответствии с Общероссийским классификатором специальностей (любая специальность в этой области). ,Проводить аттестационные испытания выделенных помещений и/или автоматизированных систем на соответствие требованиям безопасности информации ФСТЭК России и все смежные работы. ,100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117839615
Эксперт по информационной безопасности,Гринатом,Образование высшее по направлению «Информационная безопасность» или высшее с последующей профессиональной переподготовкой по направлению «Информационная безопасность» 500 часов. ,"Взаимодействие со смежными подразделениями АО ""Гринатом"" по вопросам информационной безопасности. Навыки деловой переписки, формирования, разработки и согласования организационно-распорядительной документации.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117963367
Преподаватель по противодействию иностранным техническим разведкам (ПД ИТР),ФГУП НПП Гамма,"Мы готовы рассматривать кандидатов, имеющих богатый практический опыт, которым интересна преподавательская деятельность",Проведение лекций для слушателей по курсам повышения квалификации и профессиональной переподготовке. Разработка материалов для лекций.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/112684433
Руководитель направления информационной безопасности,Ростелеком - Центры обработки данных,"Знание и понимание основных принципов работы современных средств защиты информации, а также сертификации СЗИ","Организация взаимодействия, сбора и обобщения информации с подразделений для обеспечения ИБ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117802953
Специалист по информационной безопасности,"Тануки, японский ресторан",Hard skills: Опыт работы в области информационной безопасности от 3-х лет,Проведение аудитов по информационной безопасности с целью выявления потенциальных угроз и рисков.  Формирование регламентов и политик по информационной безопасности. ​​​​​​​ ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118182857
Старший инженер DevOps (ALD Pro),Группа компаний Астра,"Продвинутые навыки работы с системой контроля версий git. Владение одним или несколькими языками программирования (Python, Java), умение читать чужой код. ",Настройка и администрирование Gitflic (аналог GitLab). Написание и поддержка пайплайнов CI/CD по сборке deb-пакетов и развертыванию стендов. ,Не указана,Более 6 лет,https://hh.ru/vacancy/108065507
Инженер по безопасной разработке/DevSecOps,Ред Софт,"Наши пожелания к кандидату: Понимание языка программирования Java. Уверенные знания Linux. Знание Python, Bash. Понимание стандарта безопасной разработки ПО. ","Проведение статического анализа кода, динамического анализа кода, фаззинга. Определение степени уязвимости программного обеспечения. Составление отчетов по найденным уязвимостям. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/113859615
